FT_TIPO,FT_CODIGOPRODUCTO,FT_CODIGODEPOSITO,FT_LOTE,FT_LOTEAUTOINCREMENT,FT_NOLINEA,FT_STATUS,FT_PUESTO,FT_EXISTENCIA,FT_EXISTENCIADETALLADA,FT_EXISTENCIAAPARTADA,FT_EXISTENCIAORDENCOMPRA,FT_EXISTENCIAPEDIDO,FT_INVENTARIOINICIALBS,FT_INVENTARIOINICIALUND,FT_CTDTRANSITO,FT_VISIBLE,FT_CODEBARRA,FT_EXISTENCIAAJUSTE,BASE_AUTOINCREMENT,FT_CODE,FT_INVENTARIOINICIALCIERRE,FT_INVENTARIOINICIALBSCIERRE
4, 94460-2D001,1,,0,,,,"37,0",,,,,"0,0","37,0",,True,10408,,10408,,"37,0","0,0"
4, STOPCS05RL/AN,1,,0,,,,"0,0",,,,,"0,0","2,0",,True,15807,,15807,,"0,0","0,0"
4,00001600-DR,1,,0,,,,"0,0",,,,,"0,0","2,0",,True,11799,,11799,,"0,0","0,0"
4,00001609-DR,1,,0,,,,"-1,0",,,,,"0,0","4,0",,True,11800,,11800,,"0,0","0,0"
4,000149,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,9802,,9802,,"0,0","0,0"
4,000245,1,,0,,,,"0,0",,,,,"0,0","2,0",,True,9548,,9548,,"0,0","0,0"
4,0004003,1,,0,,,,"0,0",,,,,"0,0","1,0",,True,9647,,9647,,"0,0","0,0"
4,0004004,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,9646,,9646,,"0,0","0,0"
4,000422,1,,0,,,,"8,0",,,,,"0,0","9,0",,True,12691,,12691,,"8,0","0,0"
4,000473,1,,0,,,,"6,0",,,,,"0,0","10,0",,True,12680,,12680,,"6,0","0,0"
4,000487,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,8076,,8076,,"0,0","0,0"
4,001,1,,0,,,,"0,0",,,,,"0,0","6,0",,True,8489,,8489,,"0,0","0,0"
4,0011009,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,10765,,10765,,"0,0","0,0"
4,001369,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,8112,,8112,,"0,0","0,0"
4,0014,1,,0,,,,"0,0",,,,,"0,0","8,0",,True,9550,,9550,,"0,0","0,0"
4,00317-33075-HY,1,,0,,,,"0,0",,,,,"0,0","5,0",,True,11321,,11321,,"0,0","0,0"
4,009678-VE,1,,0,,,,"0,0",,,,,"0,0","18,0",,True,13552,,13552,,"0,0","0,0"
4,009721,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,8131,,8131,,"0,0","0,0"
4,00CEP-16,1,,0,,,,"0,0",,,,,"0,0","1,0",,True,8621,,8621,,"0,0","0,0"
4,00CEP-17,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,8624,,8624,,"0,0","0,0"
4,01030002,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,10407,,10407,,"0,0","0,0"
4,01100001-DR,1,,0,,,,"15,0",,,,,"0,0","29,0",,True,11452,,11452,,"15,0","0,0"
4,01100002-DR,1,,0,,,,"16,0",,,,,"5055,84","24,0",,True,14884,,14884,,"16,0","3370,56"
4,0110001,1,,0,,,,"0,0",,,,,"0,0","2,0",,True,10584,,10584,,"0,0","0,0"
4,01101001,1,,0,,,,"0,0",,,,,"0,0","2,0",,True,10945,,10945,,"0,0","0,0"
4,01101001-DR,1,,0,,,,"0,0",,,,,"0,0","3,0",,True,11453,,11453,,"0,0","0,0"
4,012-A,1,,0,,,,"0,0",,,,,"0,0","4,0",,True,10103,,10103,,"0,0","0,0"
4,013107-GM,1,,0,,,,"0,0",,,,,"0,0","10,0",,True,12178,,12178,,"0,0","0,0"
4,016178,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,8619,,8619,,"0,0","0,0"
4,016181,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,8226,,8226,,"0,0","0,0"
4,01652RE,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,9313,,9313,,"0,0","0,0"
4,020062,1,,0,,,,"0,0",,,,,"0,0","5,0",,True,9547,,9547,,"0,0","0,0"
4,023023RE,1,,0,,,,"2,0",,,,,"0,0","4,0",,True,12208,,12208,,"3,0","0,0"
4,02374BAGE,1,,0,,,,"0,0",,,,,"0,0","16,0",,True,10852,,10852,,"0,0","0,0"
4,02509-SA,1,,0,,,,"14,0",,,,,"1506,8999999999999","15,0",,True,14612,,14612,,"14,0","1406,4399999999998"
4,028-A,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,10429,,10429,,"0,0","0,0"
4,0404,1,,0,,,,"15,0",,,,,"0,0","23,0",,True,12706,,12706,,"15,0","0,0"
4,0406,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,9068,,9068,,"0,0","0,0"
4,0414,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,12710,,12710,,"0,0","0,0"
4,0415,1,,0,,,,"0,0",,,,,"0,0","1,0",,True,12711,,12711,,"0,0","0,0"
4,0416,1,,0,,,,"0,0",,,,,"0,0","1,0",,True,12712,,12712,,"0,0","0,0"
4,0428,1,,0,,,,"40,0",,,,,"0,0","44,0",,True,12701,,12701,,"40,0","0,0"
4,0439,1,,0,,,,"5,0",,,,,"0,0","6,0",,True,12703,,12703,,"5,0","0,0"
4,0440,1,,0,,,,"53,0",,,,,"0,0","57,0",,True,12695,,12695,,"53,0","0,0"
4,0441,1,,0,,,,"38,0",,,,,"0,0","40,0",,True,12699,,12699,,"38,0","0,0"
4,0442,1,,0,,,,"19,0",,,,,"0,0","19,0",,True,12700,,12700,,"19,0","0,0"
4,0446,1,,0,,,,"25,0",,,,,"0,0","25,0",,True,12696,,12696,,"25,0","0,0"
4,0448,1,,0,,,,"25,0",,,,,"0,0","27,0",,True,12702,,12702,,"25,0","0,0"
4,0459,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,9076,,9076,,"0,0","0,0"
4,0461,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,12687,,12687,,"0,0","0,0"
4,0462,1,,0,,,,"36,0",,,,,"0,0","40,0",,True,12686,,12686,,"36,0","0,0"
4,0463,1,,0,,,,"27,0",,,,,"0,0","36,0",,True,12685,,12685,,"27,0","0,0"
