FI_CODIGO,FI_DESCRIPCION,FI_CATEGORIA,FI_DESCRIPCIONDETALLADA,FI_VENDEDOR,FI_STATUS,FI_UNIDAD,FI_TIPOCODIGOBARRA,FI_IMAGEN,FI_SUSTITUTO1,FI_SUSTITUTO2,FI_SUSTITUTO3,FI_REFERENCIA,FI_MARCA,FI_MONEDA,FI_FACTORCONVERSION,FI_UNDEXISTENCIA2,FI_PUESTO,FI_SUJETOACOMISION,FI_MONTOCOMISION,FI_CUENTASCONTABLES,FI_PESOPRODUCTO,FI_DIASDEREPOSICION,FI_PRESENTACION,FI_GARANTIA,FI_SUSTITUTO4,FI_SUSTITUTO5,FI_MONTOCOMISIONP,FI_DEPOSITOS,FI_OFERTAS,FI_VENCIMIENTOS,FI_CLASIFICACION,FI_MANEJOINVENTARIO,FI_SERIALES,FI_CREACION,FI_INVENTARIOINICIALUNIDADES,FI_INVENTARIOINICIALCOSTO,FI_CAPACIDAD,FI_EXISTDECIMAL,FI_COMPUESTOSERIALES,FI_VENDEDORFIJO,FI_VENDEDORFIJOACTIVO,FI_MODELO,FI_SUBCATEGORIA,FI_PESOAFECTACOSTO,FI_IMPRESORA,BASE_AUTOINCREMENT,FI_ZEXTRA1,FI_ZEXTRA2,FI_ZEXTRA3,FI_ZEXTRA4,FI_ZEXTRA5,FI_ZEXTRA6,FI_ZEXTRA1VENTA,FI_ZEXTRA2VENTA,FI_ZEXTRA3VENTA,FI_ZEXTRA4VENTA,FI_ZEXTRA5VENTA,FI_ZEXTRA6VENTA,FI_ZEXTRA1VENTAMOD,FI_ZEXTRA2VENTAMOD,FI_ZEXTRA3VENTAMOD,FI_ZEXTRA4VENTAMOD,FI_ZEXTRA5VENTAMOD,FI_ZEXTRA6VENTAMOD,FI_INTERNET,FI_BALANZA,FI_CODIGOBARRA,FI_PRECIOLISTA,FI_APROVECHAPORC,FI_ARANCEL,FI_POSENTREGA
00001600-DR,"CEPILLO BOOMERANG 16"" - DROP OUT",1,,,True,UNIVERSAL,,,,,,,DROP OUT,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,,,"0,0",False,False,008,False,G-PARED,NACIONAL,,,13457,,,,,,,,,,,,,,,,,,,,,,,,,
00001609-DR,"CEPILLO BOOMERANG 24"" - DROPOUT",325,,,True,UNIVERSAL,,,,,,,DROPOUT,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,002,False,PARED CORREAS,NACIONAL,,,8033,,,,,,,,,,,,,,,,,,,,,,,,,
000109,FORMULA MARINA SKY 1LITRO,305,,,True,,,,,,,,SKY,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,001,False,G41-F 37x50x6,NACIONAL,,,2955,,,,,,,,,,,,,,,,,,,,,,,,,
000245,SOCATE P/BOMBILLO 9005 PORCELANA,364,,,True,PERIQUITO,,,,,,,UNIVERSAL,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,002,False,-7-B,NACIONAL,,,1893,,,,,,,,,,,,,,,,,,,,,,,,,
0004003,"TEFLON 19MMx0,2MMx15M GRANDE FC",364,,,True,,,,,,,,FC,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,003,False,EXHIBICION,NACIONAL,,,6071,,,,,,,,,,,,,,,,,,,,,,,,,
000422,FUSIBLE MACHO 50 AMP,346,,,True,UNIVERSAL,,,,,,,NACIONAL,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,008,False,7-B,NACIONAL,,,1883,,,,,,,,,,,,,,,,,,,,,,,,,
000423,LIMPIA CAUCHO 440ML VS,365,,,True,,,,,,,,VS,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,001,False,G42-C + EXC,NACIONAL,,,1878,,,,,,,,,,,,,,,,,,,,,,,,,
000473,FUSIBLE HEMBRA 100 AMP,346,,,True,UNIVERSAL,,,,,,,NACIONAL,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,008,False,7-B,NACIONAL,,,1894,,,,,,,,,,,,,,,,,,,,,,,,,
00317-33075,ROLINERA TRS RIO STYLUS EXTERNA - MOBIS,498,,,True,,,,,,,,MOBIS,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,003,False,7-A,NACIONAL,,,6255,,,,,,,,,,,,,,,,,,,,,,,,,
00317-33075-HY,ROLINERA TRS RIO STYLUS EXTERNA - HYUNDA,498,,,True,UNIVERSAL,,,,,,,HYUNDAI - MOBIS,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,002,False,10-C,NACIONAL,,,7565,,,,,,,,,,,,,,,,,,,,,,,,,
